"id_rider","id_team_fk","rider_full_name","rider_name","rider_lastname","season","rider_number","racing_class","rounds_string","rounds_participated","rider_weight","rider_height","loc_birth","date_birth","birth_latitude","birth_longitude"
2400,2461,Bradley Smith,Bradley,Smith,2015,38,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",68,180,Oxford,1990-11-28,51.7520131,-1.2578499
2677,2803,Andrea Iannone,Andrea,Iannone,2017,29,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",74,179,Vasto,1989-08-09,42.12434,14.705923
3167,3159,Jeremy Alcoba,Jeremy,Alcoba,2020,52,moto3,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",70,177,Tortosa,2001-11-15,40.8110158,0.5209333
1647,1542,Nicky Hayden,Nicky,Hayden,2010,69,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",,,Owensboro,1981-07-30,37.7742152,-87.1133304
2333,2241,Mike Di Meglio,Mike,Di Meglio,2014,63,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",70,171,Toulouse,1988-01-17,43.6044622,1.4442469
2382,2262,Álvaro Bautista,Álvaro,Bautista,2014,19,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",58,169,Talavera de la Reina,1984-11-21,39.9603798,-4.8311717
3246,3282,Andrea Mantovani,Andrea,Mantovani,2021,9,moto-e,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",74,180,Ferrara,1994-09-30,44.766764249999994,11.827938995640167
3192,3230,Matteo Ferrari,Matteo,Ferrari,2020,11,moto-e,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",63,175,Cesena,1997-02-12,44.136352,12.2422442
791,799,Wang Zhu,Wang,Zhu,2005,60,"250cc","{3,13,16,17}","{3,13,16,17}",,,,,,
2536,2589,Alessandro Nocco,Alessandro,Nocco,2016,20,moto2,"{16,17}","{16,17}",60,167,Fano,1993-04-23,43.8424173,13.0146632
2659,2561,Tito Rabat,Tito,Rabat,2016,53,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",67,178,Barcelona,1989-05-25,41.3828939,2.1774322
2007,2045,Mattia Pasini,Mattia,Pasini,2012,54,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14}",67,178,Rimini,1985-08-13,43.9470982,12.630768610516004
