"id_constructor","des_constructor","racing_class","season"
236,APR+Kawasaki,motogp,2013
237,ART+Aprilia,motogp,2013
238,Bakker Honda,moto3,2013
239,BCL+Suzuki,motogp,2013
240,Bullet,moto3,2013
241,Ducati,motogp,2013
242,FTR,moto2,2013
243,FTR,moto3,2013
244,FTR Honda,moto3,2013
245,FTR+Honda,motogp,2013
246,FTR+Kawasaki,motogp,2013
247,Honda,moto3,2013
248,Honda,motogp,2013
249,Ioda-Suter+BMW,motogp,2013
250,Kalex,moto2,2013
251,Kalex KTM,moto3,2013
252,KRP Honda,moto3,2013
253,KTM,moto3,2013
254,Mahindra,moto3,2013
255,MIR Honda,moto3,2013
256,MIR Racing,moto3,2013
257,Mistral 610,moto2,2013
258,Moriwaki,moto2,2013
259,Motobi,moto2,2013
260,PBM+Aprilia,motogp,2013
261,S&B Suter+BMW,motogp,2013
262,Speed Up,moto2,2013
263,Suter,moto2,2013
264,Suter,moto3,2013
265,Suter Honda,moto3,2013
266,Tech 3,moto2,2013
267,TransFIORmers,moto2,2013
268,TSR,moto2,2013
269,TSR Honda,moto3,2013
270,Yamaha,motogp,2013
271,ART,motogp,2014
272,Avintia,motogp,2014
273,Caterham Suter,moto2,2014
274,Ducati,motogp,2014
275,Forward KLX,moto2,2014
276,Forward Yamaha,motogp,2014
277,FTR,moto3,2014
278,FTR Honda,moto3,2014
279,FTR KTM,moto3,2014
280,Honda,moto3,2014
281,Honda,motogp,2014
282,Husqvarna,moto3,2014
283,Kalex,moto2,2014
284,Kalex KTM,moto3,2014
285,KTM,moto3,2014
286,Mahindra,moto3,2014
287,Moriwaki,moto2,2014
288,NTS,moto2,2014
289,PBM,motogp,2014
290,Speed Up,moto2,2014
291,Suter,moto2,2014
292,Suzuki,motogp,2014
293,Taylor Made,moto2,2014
294,Tech 3,moto2,2014
295,TransFIORmers,moto2,2014
296,TSR,moto2,2014
297,Yamaha,motogp,2014
298,Aprilia,motogp,2015
299,ART,motogp,2015
300,Ducati,motogp,2015
301,FTR,moto2,2015
302,FTR,moto3,2015
303,FTR Honda,moto3,2015
304,Honda,moto3,2015
305,Honda,motogp,2015
306,Husqvarna,moto3,2015
307,Kalex,moto2,2015
308,Kalex KTM,moto3,2015
309,KTM,moto3,2015
310,Mahindra,moto3,2015
311,Moriwaki,moto2,2015
312,NTS,moto2,2015
313,Speed Up,moto2,2015
314,Suter,moto2,2015
315,Suzuki,motogp,2015
316,Tech 3,moto2,2015
317,TransFIORmers,moto2,2015
318,TVR,moto3,2015
319,Yamaha,motogp,2015
320,Yamaha Forward,motogp,2015
321,Aprilia,motogp,2016
322,Ducati,motogp,2016
323,FTR Honda,moto3,2016
324,Honda,moto3,2016
325,Honda,motogp,2016
326,Kalex,moto2,2016
327,KTM,moto3,2016
328,KTM,motogp,2016
329,Mahindra,moto3,2016
330,NTS,moto2,2016
331,Peugeot,moto3,2016
332,Speed Up,moto2,2016
333,Suter,moto2,2016
334,Suzuki,motogp,2016
335,Tech 3,moto2,2016
336,TransFIORmers,moto2,2016
337,TSR,moto2,2016
338,Yamaha,motogp,2016
339,Aprilia,motogp,2017
340,Ducati,motogp,2017
