"id_grandprix","id_track_fk","des_grandprix","num_round","num_laps","season","gp_date","saturday_race","night_race"
292,26,Gran Premio Octo di San Marino e della Riviera di Rimini[55],13,,2018,2018-09-09,false,false
293,24,Gran Premio Movistar de Aragón,14,,2018,2018-09-23,false,false
294,31,PTT Thailand Grand Prix,15,,2018,2018-10-07,false,false
295,16,Motul Grand Prix of Japan,16,,2018,2018-10-21,false,false
296,11,Michelin Australian Motorcycle Grand Prix,17,,2018,2018-10-28,false,false
297,13,Shell Malaysia Motorcycle Grand Prix,18,,2018,2018-11-04,false,false
298,6,Gran Premio Motul de la Comunitat Valenciana,19,,2018,2018-11-18,false,false
299,18,VisitQatar Grand Prix,1,,2019,2019-03-10,false,true
300,28,Gran Premio Motul de la República Argentina,2,,2019,2019-03-31,false,false
301,27,Red Bull Grand Prix of The Americas,3,,2019,2019-04-14,false,false
302,32,Gran Premio Red Bull de España,4,,2019,2019-05-05,false,false
303,4,SHARK Helmets Grand Prix de France,5,,2019,2019-05-19,false,false
304,33,Gran Premio d'Italia Oakley,6,,2019,2019-06-02,false,false
305,29,Gran Premi Monster Energy de Catalunya,7,,2019,2019-06-16,false,false
306,15,Motul TT Assen,8,,2019,2019-06-30,false,false
307,12,HJC Helmets Motorrad Grand Prix Deutschland,9,,2019,2019-07-07,false,false
308,3,Monster Energy Grand Prix České republiky,10,,2019,2019-08-04,false,false
309,30,myWorld Motorrad Grand Prix von Österreich,11,,2019,2019-08-11,false,false
310,25,GoPro British Grand Prix,12,,2019,2019-08-25,false,false
311,26,Gran Premio Octo di San Marino e della Riviera di Rimini,13,,2019,2019-09-15,false,false
312,24,Gran Premio Michelin de Aragón,14,,2019,2019-09-22,false,false
313,31,PTT Thailand Grand Prix,15,,2019,2019-10-06,false,false
314,16,Motul Grand Prix of Japan,16,,2019,2019-10-20,false,false
315,11,Pramac Generac Australian Motorcycle Grand Prix,17,,2019,2019-10-27,false,false
316,13,Shell Malaysia Motorcycle Grand Prix,18,,2019,2019-11-03,false,false
317,6,Gran Premio Motul de la Comunitat Valenciana,19,,2019,2019-11-17,false,false
318,18,QNB Grand Prix of Qatar,1,,2020,2020-03-08,false,true
319,32,Gran Premio Red Bull de España,2,,2020,2020-07-19,false,false
320,32,Gran Premio Red Bull de Andalucía,3,,2020,2020-07-26,false,false
321,3,Monster Energy Grand Prix České republiky,4,,2020,2020-08-09,false,false
322,30,myWorld Motorrad Grand Prix von Österreich,5,,2020,2020-08-16,false,false
323,30,BMW M Grand Prix of Styria,6,,2020,2020-08-23,false,false
324,26,Gran Premio Lenovo di San Marino e della Riviera di Rimini,7,,2020,2020-09-13,false,false
325,26,Gran Premio TISSOT dell'Emilia Romagna e della Riviera di Rimini,8,,2020,2020-09-20,false,false
326,29,Gran Premi Monster Energy de Catalunya,9,,2020,2020-09-27,false,false
327,4,SHARK Helmets Grand Prix de France,10,,2020,2020-10-11,false,false
328,24,Gran Premio Michelin de Aragón,11,,2020,2020-10-18,false,false
329,24,Gran Premio Liqui Moly de Teruel,12,,2020,2020-10-25,false,false
330,6,Gran Premio de Europa,13,,2020,2020-11-08,false,false
331,6,Gran Premio Motul de la Comunitat Valenciana,14,,2020,2020-11-15,false,false
332,34,Grande Prémio MEO de Portugal,15,,2020,2020-11-22,false,false
333,18,Barwa Grand Prix of Qatar,1,,2021,2021-03-28,false,true
334,18,Tissot Grand Prix of Doha,2,,2021,2021-04-04,false,false
335,34,Grande Prémio 888 de Portugal,3,,2021,2021-04-18,false,false
336,32,Gran Premio Red Bull de España,4,,2021,2021-05-02,false,false
337,4,Shark Grand Prix de France,5,,2021,2021-05-16,false,false
338,33,Gran Premio d'Italia Oakley,6,,2021,2021-05-30,false,false
339,29,Gran Premi Monster Energy de Catalunya,7,,2021,2021-06-06,false,false
340,12,Liqui Moly Motorrad Grand Prix Deutschland,8,,2021,2021-06-20,false,false
341,15,Motul TT Assen,9,,2021,2021-06-27,false,false
342,30,Michelin Grand Prix of Styria,10,,2021,2021-08-08,false,false
343,30,Bitci Motorrad Grand Prix von Österreich,11,,2021,2021-08-15,false,false
344,25,Monster Energy British Grand Prix,12,,2021,2021-08-29,false,false
345,24,Gran Premio Tissot de Aragón,13,,2021,2021-09-12,false,false
346,26,Gran Premio Octo di San Marino e della Riviera di Rimini,14,,2021,2021-09-19,false,false
347,27,Red Bull Grand Prix of the Americas,15,,2021,2021-10-03,false,false
348,26,Gran Premio Nolan del Made in Italy e dell'Emilia-Romagna,16,,2021,2021-10-24,false,false
349,34,Grande Prémio Brembo do Algarve,17,,2021,2021-11-07,false,false
350,6,Gran Premio Motul de la Comunitat Valenciana,18,,2021,2021-11-14,false,false
351,35,Grand Prix of Qatar,1,,2022,2022-03-06,false,true
352,37,Pertamina Grand Prix of Indonesia,2,,2022,2022-03-20,false,false
353,28,Gran Premio Michelin de la República Argentina,3,,2022,2022-04-03,false,false
354,27,Red Bull Grand Prix of The Americas,4,,2022,2022-04-10,false,false
355,34,Grande Prémio Tissot de Portugal,5,,2022,2022-04-24,false,false
356,32,Gran Premio Red Bull de España,6,,2022,2022-05-01,false,false
357,4,Shark Grand Prix de France,7,,2022,2022-05-15,false,false
358,33,Gran Premio d'Italia Oakley,8,,2022,2022-05-29,false,false
359,29,Gran Premi Monster Energy de Catalunya,9,,2022,2022-06-05,false,false
360,12,Liqui Moly Motorrad Grand Prix Deutschland,10,,2022,2022-06-19,false,false
361,15,Motul TT Assen,11,,2022,2022-06-26,false,false
362,25,Monster Energy British Grand Prix,12,,2022,2022-08-07,false,false
